sr_no,state,mp_name,constituency,allocated_amount,project_count,spent_percentage,completion_percentage
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,5,66.36345655469242,59.29568899087592
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,13,80.11253967015662,35.359998294884804
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,11,36.16929093840511,64.68753466705442
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,6,31.65837315728331,72.52537201902088
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,9,59.53366013268,41.56759181273213
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,7,37.326921608774,59.8736877084757
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,13,38.367251752648386,70.38692754665391
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,7,85.7446700413507,24.568195573978883
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,6,43.29914394726152,38.95231391985456
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,13,41.29776236322842,55.84842414960651
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,11,89.13799326923763,28.222245415726313
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,6,79.58429723805774,41.03862336987795
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,6,83.563184522569,69.27893342529534
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,9,75.67461593619905,93.2811011341043
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,15,77.12241212765264,36.764847183076284
16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,7,67.33611262019254,48.21977164863945
17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,9,43.34661914804209,24.551658930380576
18,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,15,39.53316601225208,50.355278730942985
19,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,8,59.132029980773964,51.52992293728089
20,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,9,80.32318320433666,97.6528418284168
21,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,6,47.80644642987704,68.53491245484605
22,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,13,82.58794836261715,33.18188301265009
23,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,11,37.98052276144918,91.02874885613792
24,Assam,AMARSING TISSO,Diphu (ST),147000000.0,7,87.7191703714832,63.69305156324408
25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,8,59.21530070752027,38.21663007035361
26,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,7,36.06676280059415,68.21255101981025
27,Rajasthan,AMRARAM,SIKAR,165691544.11,6,47.098227041668494,86.55154528953118
28,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,9,51.000014916845814,43.863436893533496
29,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,9,62.149186815412534,62.38508411300006
30,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,10,59.72696923987074,99.95662350262793
31,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,11,67.61408101920902,57.7862300590695
32,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,15,87.43684971029512,25.192978046353353
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,15,45.00914203452609,41.4091346686147
34,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,12,57.37253541710863,89.88664955420272
35,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,9,32.89871348098118,65.72582991606092
36,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,6,40.91239029776155,40.00239147038034
37,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,5,42.994782329600305,85.53800043006908
38,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,15,73.54472235745118,92.06316800865676
39,Jharkhand,Annpurna Devi,KODARMA,166665931.8,8,57.17893868974945,92.52262339745852
40,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,9,44.076639221299956,45.69265959867634
41,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,6,37.00425205522095,72.709011221098
42,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,11,92.9420163384113,96.78620790946162
43,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,7,85.46288419394853,60.63684626107011
44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,12,83.07097011322061,96.5680998043233
45,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,15,32.24780371015505,96.21245143007046
46,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,15,87.9228033844357,45.53915787967148
47,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,13,43.893571552055825,66.10747419669806
48,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,10,83.39490046005209,31.00013181846066
49,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,12,66.01655165769492,32.50221155155841
50,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,6,78.09070197614443,26.264289071036
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,11,52.396353117581455,26.600380383681124
52,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,12,74.03727919241794,56.25731767710002
53,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,14,66.55681900396476,51.32053387011652
