sr_no,state,mp_name,constituency,allocated_amount,project_count,spent_percentage,completion_percentage,state_median,state_mad,deviation_score,is_high_spender,is_low_spender,efficiency_score,financial_risk,duplicate_risk,performance_risk,risk_score,risk_level,risk_explanation,explanation_summary
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,5,66.36345655469242,59.29568899087592,147000000.0,1.0,43289442.0,True,False,0.893499104315163,80,0,0,30.91,BLUE,"{'financial': 'Allocation is 3x above the state median threshold: ₹190,289,442.00 > ₹147,000,003.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹126,282,651.17 vs ₹112,833,435.71.', 'combined': 'Overall risk level BLUE from financial, duplicate, and performance indicators.'}","{'financial': 80, 'duplicate': 0, 'performance': 0}"
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,13,80.11253967015662,35.359998294884804,147000000.0,1.0,7773472.110000014,True,False,0.4413790704984608,80,0,80,52.73,YELLOW,"{'financial': 'Allocation is 3x above the state median threshold: ₹154,773,472.11 > ₹147,000,003.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is materially higher than expected for the completion rate: ₹123,992,959.24 vs ₹54,727,897.10.', 'combined': 'Overall risk level YELLOW from financial, duplicate, and performance indicators.'}","{'financial': 80, 'duplicate': 0, 'performance': 80}"
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,11,36.16929093840511,64.68753466705442,147000000.0,1.0,0.0,False,False,1.7884656566039618,20,0,0,14.55,GREEN,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹53,168,857.68 vs ₹95,090,675.96.', 'combined': 'Overall risk level GREEN from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 0}"
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,6,31.65837315728331,72.52537201902088,147000000.0,1.0,0.0,False,False,2.0,20,0,0,14.55,GREEN,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹46,537,808.54 vs ₹106,612,296.87.', 'combined': 'Overall risk level GREEN from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 0}"
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,9,59.53366013268,41.56759181273213,147000000.0,1.0,0.0,False,False,0.6982199938672056,20,0,50,28.18,BLUE,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending exceeds expected benchmarks moderately: ₹87,514,480.40 vs ₹61,104,359.96.', 'combined': 'Overall risk level BLUE from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 50}"
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,7,37.326921608774,59.8736877084757,147000000.0,1.0,0.0,False,False,1.604034973363619,20,0,0,14.55,GREEN,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹54,870,574.76 vs ₹88,014,320.93.', 'combined': 'Overall risk level GREEN from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 0}"
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,13,38.36725175264839,70.38692754665391,147000000.0,1.0,0.0,False,False,1.834557450203488,20,0,0,14.55,GREEN,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹56,399,860.08 vs ₹103,468,783.49.', 'combined': 'Overall risk level GREEN from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 0}"
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,7,85.7446700413507,24.568195573978883,147000000.0,4877316.555000007,0.0,False,False,0.2865273790444441,20,0,80,36.36,BLUE,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is materially higher than expected for the completion rate: ₹126,044,664.96 vs ₹36,115,247.49.', 'combined': 'Overall risk level BLUE from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 80}"
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,6,43.29914394726152,38.95231391985456,147000000.0,4877316.555000007,0.0,False,False,0.899609331013532,20,0,0,14.55,GREEN,"{'financial': 'Allocation is within the expected state range around the median ₹147,000,000.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹63,649,741.60 vs ₹57,259,901.46.', 'combined': 'Overall risk level GREEN from financial, duplicate, and performance indicators.'}","{'financial': 20, 'duplicate': 0, 'performance': 0}"
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,13,41.29776236322842,55.84842414960651,147000000.0,1.0,816309.1100000143,True,False,1.3523353555672066,80,0,0,30.91,BLUE,"{'financial': 'Allocation is 3x above the state median threshold: ₹147,816,309.11 > ₹147,000,003.00.', 'duplicate': 'No duplicate risk signal detected from name/constituency/state similarity.', 'performance': 'Spending is aligned with expected completion output: ₹61,044,828.07 vs ₹82,553,079.27.', 'combined': 'Overall risk level BLUE from financial, duplicate, and performance indicators.'}","{'financial': 80, 'duplicate': 0, 'performance': 0}"
